Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date
Sri Lanka,won,34 runs,0,lost,1st,Pakistan,Gujranwala,16-Feb-00
Pakistan,lost,34 runs,0,won,2nd,Sri Lanka,Gujranwala,16-Feb-00
Australia,won,5 wickets,152,lost,2nd,New Zealand,Auckland,19-Feb-00
New Zealand,lost,5 wickets,152,won,1st,Australia,Auckland,19-Feb-00
Sri Lanka,won,104 runs,0,lost,1st,Pakistan,Lahore,19-Feb-00
Pakistan,lost,104 runs,0,won,2nd,Sri Lanka,Lahore,19-Feb-00
Australia,won,50 runs,0,lost,1st,New Zealand,Dunedin,23-Feb-00
New Zealand,lost,50 runs,0,won,2nd,Australia,Dunedin,23-Feb-00
Australia,won,48 runs,0,lost,1st,New Zealand,Christchurch,26-Feb-00
New Zealand,lost,48 runs,0,won,2nd,Australia,Christchurch,26-Feb-00
Australia,won,5 wickets,26,won,2nd,New Zealand,Napier,1-Mar-00
New Zealand,lost,5 wickets,26,lost,1st,Australia,Napier,1-Mar-00
New Zealand,won,7 wickets,54,lost,2nd,Australia,Auckland,3-Mar-00
Australia,lost,7 wickets,54,won,1st,New Zealand,Auckland,3-Mar-00
India,won,3 wickets,2,lost,2nd,South Africa,Kochi,9-Mar-00
South Africa,lost,3 wickets,2,won,1st,India,Kochi,9-Mar-00
India,won,6 wickets,17,lost,2nd,South Africa,Jamshedpur,12-Mar-00
South Africa,lost,6 wickets,17,won,1st,India,Jamshedpur,12-Mar-00
South Africa,won,2 wickets,6,won,2nd,India,Faridabad,15-Mar-00
India,lost,2 wickets,6,lost,1st,South Africa,Faridabad,15-Mar-00
India,won,4 wickets,1,lost,2nd,South Africa,Vadodara,17-Mar-00
South Africa,lost,4 wickets,1,won,1st,India,Vadodara,17-Mar-00
South Africa,won,10 runs,0,lost,1st,India,Nagpur,19-Mar-00
India,lost,10 runs,0,won,2nd,South Africa,Nagpur,19-Mar-00
South Africa,won,10 wickets,124,lost,2nd,India,Sharjah,22-Mar-00
India,lost,10 wickets,124,won,1st,South Africa,Sharjah,22-Mar-00
India,won,5 wickets,39,lost,2nd,Pakistan,Sharjah,23-Mar-00
Pakistan,lost,5 wickets,39,won,1st,India,Sharjah,23-Mar-00
South Africa,won,3 wickets,33,lost,2nd,Pakistan,Sharjah,24-Mar-00
Pakistan,lost,3 wickets,33,won,1st,South Africa,Sharjah,24-Mar-00
Pakistan,won,98 runs,0,won,1st,India,Sharjah,26-Mar-00
India,lost,98 runs,0,lost,2nd,Pakistan,Sharjah,26-Mar-00
South Africa,won,6 wickets,44,lost,2nd,India,Sharjah,27-Mar-00
India,lost,6 wickets,44,won,1st,South Africa,Sharjah,27-Mar-00
Pakistan,won,67 runs,0,won,1st,South Africa,Sharjah,28-Mar-00
South Africa,lost,67 runs,0,lost,2nd,Pakistan,Sharjah,28-Mar-00
Pakistan,won,16 runs,0,won,1st,South Africa,Sharjah,31-Mar-00
South Africa,lost,16 runs,0,lost,2nd,Pakistan,Sharjah,31-Mar-00
South Africa,won,6 wickets,12,won,2nd,Australia,Durban,12-Apr-00
Australia,lost,6 wickets,12,lost,1st,South Africa,Durban,12-Apr-00
West Indies,won,96 runs,0,won,1st,Pakistan,Kingstown,12-Apr-00
Pakistan,lost,96 runs,0,lost,2nd,West Indies,Kingstown,12-Apr-00
Australia,won,5 wickets,153,won,2nd,South Africa,Cape Town,14-Apr-00
South Africa,lost,5 wickets,153,lost,1st,Australia,Cape Town,14-Apr-00
South Africa,won,4 wickets,13,won,2nd,Australia,Johannesburg,16-Apr-00
Australia,lost,4 wickets,13,lost,1st,South Africa,Johannesburg,16-Apr-00
West Indies,won,17 runs,0,won,1st,Pakistan,St George's,16-Apr-00
Pakistan,lost,17 runs,0,lost,2nd,West Indies,St George's,16-Apr-00
Pakistan,won,17 runs,0,won,1st,West Indies,Bridgetown,19-Apr-00
West Indies,lost,17 runs,0,lost,2nd,Pakistan,Bridgetown,19-Apr-00
West Indies,won,60 runs,0,won,1st,Pakistan,Port of Spain,22-Apr-00
Pakistan,lost,60 runs,0,lost,2nd,West Indies,Port of Spain,22-Apr-00
Pakistan,won,4 wickets,29,lost,2nd,West Indies,Port of Spain,23-Apr-00
West Indies,lost,4 wickets,29,won,1st,Pakistan,Port of Spain,23-Apr-00
Sri Lanka,won,71 runs,0,won,1st,India,Dhaka,1-Jun-00
India,lost,71 runs,0,lost,2nd,Sri Lanka,Dhaka,1-Jun-00
Pakistan,won,44 runs,0,won,1st,India,Dhaka,3-Jun-00
India,lost,44 runs,0,lost,2nd,Pakistan,Dhaka,3-Jun-00
Pakistan,won,7 wickets,10,lost,2nd,Sri Lanka,Dhaka,5-Jun-00
Sri Lanka,lost,7 wickets,10,won,1st,Pakistan,Dhaka,5-Jun-00
Pakistan,won,39 runs,0,won,1st,Sri Lanka,Dhaka,7-Jun-00
Sri Lanka,lost,39 runs,0,lost,2nd,Pakistan,Dhaka,7-Jun-00
Sri Lanka,won,5 wickets,45,won,2nd,Pakistan,Galle,5-Jul-00
Pakistan,lost,5 wickets,45,lost,1st,Sri Lanka,Galle,5-Jul-00
Sri Lanka,won,37 runs,0,lost,1st,South Africa,Galle,6-Jul-00
South Africa,lost,37 runs,0,won,2nd,Sri Lanka,Galle,6-Jul-00
South Africa,won,18 runs,0,won,1st,Pakistan,Colombo (RPS),8-Jul-00
Pakistan,lost,18 runs,0,lost,2nd,South Africa,Colombo (RPS),8-Jul-00
Sri Lanka,won,6 wickets,4,lost,2nd,Pakistan,Colombo (RPS),9-Jul-00
Pakistan,lost,6 wickets,4,won,1st,Sri Lanka,Colombo (RPS),9-Jul-00
Sri Lanka,won,8 wickets,135,won,2nd,South Africa,Colombo (SSC),11-Jul-00
South Africa,lost,8 wickets,135,lost,1st,Sri Lanka,Colombo (SSC),11-Jul-00
South Africa,won,7 wickets,75,lost,2nd,Pakistan,Colombo (SSC),12-Jul-00
Pakistan,lost,7 wickets,75,won,1st,South Africa,Colombo (SSC),12-Jul-00
Sri Lanka,won,30 runs,0,won,1st,South Africa,Colombo (RPS),14-Jul-00
South Africa,lost,30 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),14-Jul-00
England,won,10 wickets,88,won,2nd,West Indies,Chester-le-Street,15-Jul-00
West Indies,lost,10 wickets,88,lost,1st,England,Chester-le-Street,15-Jul-00
West Indies,won,3 runs,0,lost,1st,England,Nottingham,20-Jul-00
England,lost,3 runs,0,won,2nd,West Indies,Nottingham,20-Jul-00
Australia,won,94 runs,0,lost,1st,South Africa,Melbourne (Docklands),16-Aug-00
South Africa,lost,94 runs,0,won,2nd,Australia,Melbourne (Docklands),16-Aug-00
Australia,tied,-,0,lost,2nd,South Africa,Melbourne (Docklands),18-Aug-00
South Africa,tied,-,0,won,1st,Australia,Melbourne (Docklands),18-Aug-00
South Africa,won,8 runs,0,won,1st,Australia,Melbourne (Docklands),20-Aug-00
Australia,lost,8 runs,0,lost,2nd,South Africa,Melbourne (Docklands),20-Aug-00
Pakistan,won,12 runs,0,lost,1st,New Zealand,Singapore,20-Aug-00
New Zealand,lost,12 runs,0,won,2nd,Pakistan,Singapore,20-Aug-00
Pakistan,won,28 runs,0,won,1st,South Africa,Singapore,23-Aug-00
South Africa,lost,28 runs,0,lost,2nd,Pakistan,Singapore,23-Aug-00
South Africa,won,8 wickets,96,lost,2nd,New Zealand,Singapore,25-Aug-00
New Zealand,lost,8 wickets,96,won,1st,South Africa,Singapore,25-Aug-00
South Africa,won,93 runs,0,won,1st,Pakistan,Singapore,27-Aug-00
Pakistan,lost,93 runs,0,lost,2nd,South Africa,Singapore,27-Aug-00
Sri Lanka,won,108 runs,0,lost,1st,West Indies,Nairobi (Gym),4-Oct-00
West Indies,lost,108 runs,0,won,2nd,Sri Lanka,Nairobi (Gym),4-Oct-00
India,won,20 runs,0,lost,1st,Australia,Nairobi (Gym),7-Oct-00
Australia,lost,20 runs,0,won,2nd,India,Nairobi (Gym),7-Oct-00
Pakistan,won,9 wickets,40,lost,2nd,Sri Lanka,Nairobi (Gym),8-Oct-00
Sri Lanka,lost,9 wickets,40,won,1st,Pakistan,Nairobi (Gym),8-Oct-00
South Africa,won,8 wickets,65,lost,2nd,England,Nairobi (Gym),10-Oct-00
England,lost,8 wickets,65,won,1st,South Africa,Nairobi (Gym),10-Oct-00
New Zealand,won,4 wickets,6,lost,2nd,Pakistan,Nairobi (Gym),11-Oct-00
Pakistan,lost,4 wickets,6,won,1st,New Zealand,Nairobi (Gym),11-Oct-00
India,won,95 runs,0,won,1st,South Africa,Nairobi (Gym),13-Oct-00
South Africa,lost,95 runs,0,lost,2nd,India,Nairobi (Gym),13-Oct-00
New Zealand,won,4 wickets,2,won,2nd,India,Nairobi (Gym),15-Oct-00
India,lost,4 wickets,2,lost,1st,New Zealand,Nairobi (Gym),15-Oct-00
Sri Lanka,won,5 wickets,37,lost,2nd,India,Sharjah,20-Oct-00
India,lost,5 wickets,37,won,1st,Sri Lanka,Sharjah,20-Oct-00
South Africa,won,6 wickets,20,lost,2nd,New Zealand,Benoni,22-Oct-00
New Zealand,lost,6 wickets,20,won,1st,South Africa,Benoni,22-Oct-00
England,won,5 wickets,16,lost,2nd,Pakistan,Karachi,24-Oct-00
Pakistan,lost,5 wickets,16,won,1st,England,Karachi,24-Oct-00
South Africa,won,115 runs,0,lost,1st,New Zealand,Centurion,25-Oct-00
New Zealand,lost,115 runs,0,won,2nd,South Africa,Centurion,25-Oct-00
Pakistan,won,8 wickets,34,won,2nd,England,Lahore,27-Oct-00
England,lost,8 wickets,34,lost,1st,Pakistan,Lahore,27-Oct-00
Sri Lanka,won,68 runs,0,lost,1st,India,Sharjah,27-Oct-00
India,lost,68 runs,0,won,2nd,Sri Lanka,Sharjah,27-Oct-00
South Africa,won,5 wickets,7,won,2nd,New Zealand,Kimberley,28-Oct-00
New Zealand,lost,5 wickets,7,lost,1st,South Africa,Kimberley,28-Oct-00
Sri Lanka,won,245 runs,0,won,1st,India,Sharjah,29-Oct-00
India,lost,245 runs,0,lost,2nd,Sri Lanka,Sharjah,29-Oct-00
Pakistan,won,6 wickets,39,won,2nd,England,Rawalpindi,30-Oct-00
England,lost,6 wickets,39,lost,1st,Pakistan,Rawalpindi,30-Oct-00
South Africa,won,6 wickets,9,won,2nd,New Zealand,Durban,1-Nov-00
New Zealand,lost,6 wickets,9,lost,1st,South Africa,Durban,1-Nov-00
South Africa,won,3 wickets,0,won,2nd,New Zealand,Cape Town,4-Nov-00
New Zealand,lost,3 wickets,0,lost,1st,South Africa,Cape Town,4-Nov-00
South Africa,won,4 wickets,16,lost,2nd,Sri Lanka,Port Elizabeth,15-Dec-00
Sri Lanka,lost,4 wickets,16,won,1st,South Africa,Port Elizabeth,15-Dec-00
South Africa,won,95 runs,0,won,1st,Sri Lanka,East London,17-Dec-00
Sri Lanka,lost,95 runs,0,lost,2nd,South Africa,East London,17-Dec-00
South Africa,won,8 wickets,7,lost,2nd,Sri Lanka,Paarl,9-Jan-01
Sri Lanka,lost,8 wickets,7,won,1st,South Africa,Paarl,9-Jan-01
Australia,won,74 runs,0,won,1st,West Indies,Melbourne,11-Jan-01
West Indies,lost,74 runs,0,lost,2nd,Australia,Melbourne,11-Jan-01
South Africa,won,99 runs,0,won,1st,Sri Lanka,Cape Town,11-Jan-01
Sri Lanka,lost,99 runs,0,lost,2nd,South Africa,Cape Town,11-Jan-01
Australia,won,9 wickets,38,lost,2nd,West Indies,Brisbane,14-Jan-01
West Indies,lost,9 wickets,38,won,1st,Australia,Brisbane,14-Jan-01
South Africa,won,5 wickets,48,won,2nd,Sri Lanka,Bloemfontein,14-Jan-01
Sri Lanka,lost,5 wickets,48,lost,1st,South Africa,Bloemfontein,14-Jan-01
Australia,won,28 runs,0,lost,1st,West Indies,Sydney,17-Jan-01
West Indies,lost,28 runs,0,won,2nd,Australia,Sydney,17-Jan-01
Sri Lanka,won,4 runs,0,lost,1st,South Africa,Johannesburg,17-Jan-01
South Africa,lost,4 runs,0,won,2nd,Sri Lanka,Johannesburg,17-Jan-01
Australia,won,10 wickets,163,lost,2nd,West Indies,Adelaide,26-Jan-01
West Indies,lost,10 wickets,163,won,1st,Australia,Adelaide,26-Jan-01
Sri Lanka,won,61 runs,0,won,1st,New Zealand,Napier,31-Jan-01
New Zealand,lost,61 runs,0,lost,2nd,Sri Lanka,Napier,31-Jan-01
Sri Lanka,won,3 wickets,3,lost,2nd,New Zealand,Wellington,3-Feb-01
New Zealand,lost,3 wickets,3,won,1st,Sri Lanka,Wellington,3-Feb-01
Sri Lanka,won,9 wickets,103,won,2nd,New Zealand,Auckland,6-Feb-01
New Zealand,lost,9 wickets,103,lost,1st,Sri Lanka,Auckland,6-Feb-01
Australia,won,134 runs,0,lost,1st,West Indies,Sydney,7-Feb-01
West Indies,lost,134 runs,0,won,2nd,Australia,Sydney,7-Feb-01
Sri Lanka,won,3 runs,0,won,2nd,New Zealand,Hamilton,8-Feb-01
New Zealand,lost,3 runs,0,lost,1st,Sri Lanka,Hamilton,8-Feb-01
Australia,won,39 runs,0,lost,1st,West Indies,Melbourne,9-Feb-01
West Indies,lost,39 runs,0,won,2nd,Australia,Melbourne,9-Feb-01
New Zealand,won,13 runs,0,lost,1st,Sri Lanka,Christchurch,11-Feb-01
Sri Lanka,lost,13 runs,0,won,2nd,New Zealand,Christchurch,11-Feb-01
Pakistan,won,6 wickets,30,won,2nd,New Zealand,Auckland,17-Feb-01
New Zealand,lost,6 wickets,30,lost,1st,Pakistan,Auckland,17-Feb-01
New Zealand,won,6 wickets,117,won,2nd,Pakistan,Napier,20-Feb-01
Pakistan,lost,6 wickets,117,lost,1st,New Zealand,Napier,20-Feb-01
Pakistan,won,28 runs,0,lost,1st,New Zealand,Wellington,22-Feb-01
New Zealand,lost,28 runs,0,won,2nd,Pakistan,Wellington,22-Feb-01
New Zealand,won,138 runs,0,lost,1st,Pakistan,Christchurch,25-Feb-01
Pakistan,lost,138 runs,0,won,2nd,New Zealand,Christchurch,25-Feb-01
New Zealand,won,4 wickets,11,lost,2nd,Pakistan,Dunedin,28-Feb-01
Pakistan,lost,4 wickets,11,won,1st,New Zealand,Dunedin,28-Feb-01
Sri Lanka,won,5 wickets,55,lost,2nd,England,Dambulla,23-Mar-01
England,lost,5 wickets,55,won,1st,Sri Lanka,Dambulla,23-Mar-01
Sri Lanka,won,66 runs,0,won,1st,England,Colombo (RPS),25-Mar-01
England,lost,66 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),25-Mar-01
India,won,60 runs,0,won,1st,Australia,Bangalore,25-Mar-01
Australia,lost,60 runs,0,lost,2nd,India,Bangalore,25-Mar-01
Sri Lanka,won,10 wickets,97,won,2nd,England,Colombo (SSC),27-Mar-01
England,lost,10 wickets,97,lost,1st,Sri Lanka,Colombo (SSC),27-Mar-01
Australia,won,8 wickets,29,lost,2nd,India,Pune,28-Mar-01
India,lost,8 wickets,29,won,1st,Australia,Pune,28-Mar-01
India,won,118 runs,0,lost,1st,Australia,Indore,31-Mar-01
Australia,lost,118 runs,0,won,2nd,India,Indore,31-Mar-01
Australia,won,93 runs,0,won,1st,India,Visakhapatnam,3-Apr-01
India,lost,93 runs,0,lost,2nd,Australia,Visakhapatnam,3-Apr-01
Australia,won,4 wickets,12,lost,2nd,India,Margao,6-Apr-01
India,lost,4 wickets,12,won,1st,Australia,Margao,6-Apr-01
Pakistan,won,16 runs,0,won,1st,Sri Lanka,Sharjah,8-Apr-01
Sri Lanka,lost,16 runs,0,lost,2nd,Pakistan,Sharjah,8-Apr-01
Sri Lanka,won,106 runs,0,won,1st,New Zealand,Sharjah,10-Apr-01
New Zealand,lost,106 runs,0,lost,2nd,Sri Lanka,Sharjah,10-Apr-01
Pakistan,won,8 wickets,47,lost,2nd,New Zealand,Sharjah,12-Apr-01
New Zealand,lost,8 wickets,47,won,1st,Pakistan,Sharjah,12-Apr-01
Pakistan,won,28 runs,0,won,1st,Sri Lanka,Sharjah,13-Apr-01
Sri Lanka,lost,28 runs,0,lost,2nd,Pakistan,Sharjah,13-Apr-01
Pakistan,won,7 wickets,148,lost,2nd,New Zealand,Sharjah,15-Apr-01
New Zealand,lost,7 wickets,148,won,1st,Pakistan,Sharjah,15-Apr-01
New Zealand,won,79 runs,0,lost,1st,Sri Lanka,Sharjah,17-Apr-01
Sri Lanka,lost,79 runs,0,won,2nd,New Zealand,Sharjah,17-Apr-01
Sri Lanka,won,77 runs,0,won,1st,Pakistan,Sharjah,20-Apr-01
Pakistan,lost,77 runs,0,lost,2nd,Sri Lanka,Sharjah,20-Apr-01
West Indies,won,3 wickets,0,won,2nd,South Africa,Kingston,28-Apr-01
South Africa,lost,3 wickets,0,lost,1st,West Indies,Kingston,28-Apr-01
South Africa,won,8 wickets,25,won,2nd,West Indies,St John's,2-May-01
West Indies,lost,8 wickets,25,lost,1st,South Africa,St John's,2-May-01
South Africa,won,132 runs,0,lost,1st,West Indies,St George's,5-May-01
West Indies,lost,132 runs,0,won,2nd,South Africa,St George's,5-May-01
South Africa,won,8 wickets,23,won,2nd,West Indies,St George's,6-May-01
West Indies,lost,8 wickets,23,lost,1st,South Africa,St George's,6-May-01
South Africa,won,7 wickets,50,won,2nd,West Indies,Bridgetown,9-May-01
West Indies,lost,7 wickets,50,lost,1st,South Africa,Bridgetown,9-May-01
South Africa,won,53 runs,0,lost,1st,West Indies,Port of Spain,12-May-01
West Indies,lost,53 runs,0,won,2nd,South Africa,Port of Spain,12-May-01
West Indies,won,6 wickets,34,lost,2nd,South Africa,Kingstown,16-May-01
South Africa,lost,6 wickets,34,won,1st,West Indies,Kingstown,16-May-01
Pakistan,won,108 runs,0,won,1st,England,Birmingham,7-Jun-01
England,lost,108 runs,0,lost,2nd,Pakistan,Birmingham,7-Jun-01
Australia,won,7 wickets,26,lost,2nd,Pakistan,Cardiff,9-Jun-01
Pakistan,lost,7 wickets,26,won,1st,Australia,Cardiff,9-Jun-01
Australia,won,5 wickets,3,lost,2nd,England,Bristol,10-Jun-01
England,lost,5 wickets,3,won,1st,Australia,Bristol,10-Jun-01
Pakistan,won,2 runs,0,lost,1st,England,Lord's,12-Jun-01
England,lost,2 runs,0,won,2nd,Pakistan,Lord's,12-Jun-01
Australia,won,125 runs,0,won,1st,England,Manchester,14-Jun-01
England,lost,125 runs,0,lost,2nd,Australia,Manchester,14-Jun-01
Pakistan,won,,0,won,2nd,England,Leeds,17-Jun-01
England,lost,,0,lost,1st,Pakistan,Leeds,17-Jun-01
Pakistan,won,36 runs,0,won,1st,Australia,Nottingham,19-Jun-01
Australia,lost,36 runs,0,lost,2nd,Pakistan,Nottingham,19-Jun-01
Australia,won,8 wickets,119,lost,2nd,England,The Oval,21-Jun-01
England,lost,8 wickets,119,won,1st,Australia,The Oval,21-Jun-01
Australia,won,9 wickets,141,lost,2nd,Pakistan,Lord's,23-Jun-01
Pakistan,lost,9 wickets,141,won,1st,Australia,Lord's,23-Jun-01
India,won,6 wickets,37,won,2nd,West Indies,Bulawayo,30-Jun-01
West Indies,lost,6 wickets,37,lost,1st,India,Bulawayo,30-Jun-01
India,won,6 wickets,11,won,2nd,West Indies,Harare,4-Jul-01
West Indies,lost,6 wickets,11,lost,1st,India,Harare,4-Jul-01
West Indies,won,16 runs,0,lost,1st,India,Harare,7-Jul-01
India,lost,16 runs,0,won,2nd,West Indies,Harare,7-Jul-01
Sri Lanka,won,16 runs,0,won,1st,New Zealand,Colombo (RPS),18-Jul-01
New Zealand,lost,16 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),18-Jul-01
New Zealand,won,84 runs,0,won,1st,India,Colombo (RPS),20-Jul-01
India,lost,84 runs,0,lost,2nd,New Zealand,Colombo (RPS),20-Jul-01
Sri Lanka,won,6 runs,0,won,1st,India,Colombo (RPS),22-Jul-01
India,lost,6 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),22-Jul-01
Sri Lanka,won,5 wickets,9,lost,2nd,New Zealand,Colombo (RPS),25-Jul-01
New Zealand,lost,5 wickets,9,won,1st,Sri Lanka,Colombo (RPS),25-Jul-01
New Zealand,won,67 runs,0,lost,1st,India,Colombo (RPS),26-Jul-01
India,lost,67 runs,0,won,2nd,New Zealand,Colombo (RPS),26-Jul-01
India,won,7 wickets,26,lost,2nd,Sri Lanka,Colombo (RPS),28-Jul-01
Sri Lanka,lost,7 wickets,26,won,1st,India,Colombo (RPS),28-Jul-01
Sri Lanka,won,106 runs,0,lost,1st,New Zealand,Colombo (SSC),31-Jul-01
New Zealand,lost,106 runs,0,won,2nd,Sri Lanka,Colombo (SSC),31-Jul-01
India,won,46 runs,0,lost,1st,Sri Lanka,Colombo (SSC),1-Aug-01
Sri Lanka,lost,46 runs,0,won,2nd,India,Colombo (SSC),1-Aug-01
India,won,7 wickets,26,lost,2nd,New Zealand,Colombo (SSC),2-Aug-01
New Zealand,lost,7 wickets,26,won,1st,India,Colombo (SSC),2-Aug-01
Sri Lanka,won,121 runs,0,won,1st,India,Colombo (RPS),5-Aug-01
India,lost,121 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),5-Aug-01
South Africa,won,6 wickets,10,won,2nd,India,Johannesburg,5-Oct-01
India,lost,6 wickets,10,lost,1st,South Africa,Johannesburg,5-Oct-01
India,won,41 runs,0,won,1st,South Africa,Centurion,10-Oct-01
South Africa,lost,41 runs,0,lost,2nd,India,Centurion,10-Oct-01
South Africa,won,46 runs,0,won,1st,India,East London,19-Oct-01
India,lost,46 runs,0,lost,2nd,South Africa,East London,19-Oct-01
South Africa,won,6 wickets,47,won,2nd,India,Durban,26-Oct-01
India,lost,6 wickets,47,lost,1st,South Africa,Durban,26-Oct-01
Sri Lanka,won,7 wickets,71,lost,2nd,Pakistan,Sharjah,27-Oct-01
Pakistan,lost,7 wickets,71,won,1st,Sri Lanka,Sharjah,27-Oct-01
Pakistan,won,7 wickets,4,lost,2nd,Sri Lanka,Sharjah,2-Nov-01
Sri Lanka,lost,7 wickets,4,won,1st,Pakistan,Sharjah,2-Nov-01
Pakistan,won,5 wickets,38,lost,2nd,Sri Lanka,Sharjah,4-Nov-01
Sri Lanka,lost,5 wickets,38,won,1st,Pakistan,Sharjah,4-Nov-01
West Indies,won,49 runs,0,won,1st,Sri Lanka,Colombo (RPS),11-Dec-01
Sri Lanka,lost,49 runs,0,lost,2nd,West Indies,Colombo (RPS),11-Dec-01
Sri Lanka,won,8 wickets,41,won,2nd,West Indies,Kandy,15-Dec-01
West Indies,lost,8 wickets,41,lost,1st,Sri Lanka,Kandy,15-Dec-01
Sri Lanka,won,34 runs,0,won,1st,West Indies,Colombo (RPS),19-Dec-01
West Indies,lost,34 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),19-Dec-01
New Zealand,won,23 runs,0,lost,1st,Australia,Melbourne,11-Jan-02
Australia,lost,23 runs,0,won,2nd,New Zealand,Melbourne,11-Jan-02
South Africa,won,4 wickets,9,lost,2nd,Australia,Melbourne,13-Jan-02
Australia,lost,4 wickets,9,won,1st,South Africa,Melbourne,13-Jan-02
South Africa,won,26 runs,0,won,1st,New Zealand,Hobart,15-Jan-02
New Zealand,lost,26 runs,0,lost,2nd,South Africa,Hobart,15-Jan-02
New Zealand,won,23 runs,0,won,1st,Australia,Sydney,17-Jan-02
Australia,lost,23 runs,0,lost,2nd,New Zealand,Sydney,17-Jan-02
New Zealand,won,4 wickets,5,lost,2nd,South Africa,Brisbane,19-Jan-02
South Africa,lost,4 wickets,5,won,1st,New Zealand,Brisbane,19-Jan-02
India,won,22 runs,0,won,1st,England,Kolkata,19-Jan-02
England,lost,22 runs,0,lost,2nd,India,Kolkata,19-Jan-02
Australia,won,27 runs,0,won,1st,South Africa,Brisbane,20-Jan-02
South Africa,lost,27 runs,0,lost,2nd,Australia,Brisbane,20-Jan-02
Australia,won,8 wickets,188,lost,2nd,South Africa,Sydney,22-Jan-02
South Africa,lost,8 wickets,188,won,1st,Australia,Sydney,22-Jan-02
England,won,16 runs,0,lost,1st,India,Cuttack,22-Jan-02
India,lost,16 runs,0,won,2nd,England,Cuttack,22-Jan-02
India,won,4 wickets,20,lost,2nd,England,Chennai,25-Jan-02
England,lost,4 wickets,20,won,1st,India,Chennai,25-Jan-02
New Zealand,won,77 runs,0,won,1st,Australia,Adelaide,26-Jan-02
Australia,lost,77 runs,0,lost,2nd,New Zealand,Adelaide,26-Jan-02
South Africa,won,93 runs,0,won,1st,New Zealand,Adelaide,27-Jan-02
New Zealand,lost,93 runs,0,lost,2nd,South Africa,Adelaide,27-Jan-02
India,won,8 wickets,56,lost,2nd,England,Kanpur,28-Jan-02
England,lost,8 wickets,56,won,1st,India,Kanpur,28-Jan-02
Australia,won,2 wickets,3,lost,2nd,New Zealand,Melbourne,29-Jan-02
New Zealand,lost,2 wickets,3,won,1st,Australia,Melbourne,29-Jan-02
England,won,2 runs,0,lost,1st,India,Delhi,31-Jan-02
India,lost,2 runs,0,won,2nd,England,Delhi,31-Jan-02
South Africa,won,67 runs,0,lost,1st,New Zealand,Perth,1-Feb-02
New Zealand,lost,67 runs,0,won,2nd,South Africa,Perth,1-Feb-02
Australia,won,33 runs,0,lost,1st,South Africa,Perth,3-Feb-02
South Africa,lost,33 runs,0,won,2nd,Australia,Perth,3-Feb-02
England,won,5 runs,0,won,1st,India,Mumbai,3-Feb-02
India,lost,5 runs,0,lost,2nd,England,Mumbai,3-Feb-02
South Africa,won,8 wickets,29,lost,2nd,New Zealand,Melbourne,6-Feb-02
New Zealand,lost,8 wickets,29,won,1st,South Africa,Melbourne,6-Feb-02
South Africa,won,6 wickets,47,lost,2nd,New Zealand,Sydney,8-Feb-02
New Zealand,lost,6 wickets,47,won,1st,South Africa,Sydney,8-Feb-02
New Zealand,won,4 wickets,21,lost,2nd,England,Christchurch,13-Feb-02
England,lost,4 wickets,21,won,1st,New Zealand,Christchurch,13-Feb-02
Pakistan,won,4 wickets,23,lost,2nd,West Indies,Sharjah,14-Feb-02
West Indies,lost,4 wickets,23,won,1st,Pakistan,Sharjah,14-Feb-02
Pakistan,won,51 runs,0,won,1st,West Indies,Sharjah,15-Feb-02
West Indies,lost,51 runs,0,lost,2nd,Pakistan,Sharjah,15-Feb-02
New Zealand,won,155 runs,0,lost,1st,England,Wellington,16-Feb-02
England,lost,155 runs,0,won,2nd,New Zealand,Wellington,16-Feb-02
West Indies,won,110 runs,0,won,1st,Pakistan,Sharjah,17-Feb-02
Pakistan,lost,110 runs,0,lost,2nd,West Indies,Sharjah,17-Feb-02
England,won,43 runs,0,lost,1st,New Zealand,Napier,20-Feb-02
New Zealand,lost,43 runs,0,won,2nd,England,Napier,20-Feb-02
England,won,33 runs,0,won,1st,New Zealand,Auckland,23-Feb-02
New Zealand,lost,33 runs,0,lost,2nd,England,Auckland,23-Feb-02
New Zealand,won,5 wickets,7,lost,2nd,England,Dunedin,26-Feb-02
England,lost,5 wickets,7,won,1st,New Zealand,Dunedin,26-Feb-02
Australia,won,19 runs,0,won,1st,South Africa,Johannesburg,22-Mar-02
South Africa,lost,19 runs,0,lost,2nd,Australia,Johannesburg,22-Mar-02
Australia,won,45 runs,0,lost,1st,South Africa,Centurion,24-Mar-02
South Africa,lost,45 runs,0,won,2nd,Australia,Centurion,24-Mar-02
Australia,tied,-,0,lost,2nd,South Africa,Potchefstroom,27-Mar-02
South Africa,tied,-,0,won,1st,Australia,Potchefstroom,27-Mar-02
Australia,won,37 runs,0,won,1st,South Africa,Bloemfontein,30-Mar-02
South Africa,lost,37 runs,0,lost,2nd,Australia,Bloemfontein,30-Mar-02
Australia,won,8 wickets,13,won,2nd,South Africa,Durban,3-Apr-02
South Africa,lost,8 wickets,13,lost,1st,Australia,Durban,3-Apr-02
