Team,Result,Margin,BR,Toss,Bat,,Opposition,Ground,Start Date
Australia,lost,5 wickets,7,won,1st,,v South Africa,Brisbane,15/01/2006
Sri Lanka,won,94 runs,0,lost,1st,,v South Africa,Brisbane,17/01/2006
South Africa,lost,94 runs,0,won,2nd,,v Sri Lanka,Brisbane,17/01/2006
Australia,won,59 runs,0,won,1st,,v South Africa,Melbourne (Docklands),20/01/2006
South Africa,lost,59 runs,0,lost,2nd,,v Australia,Melbourne (Docklands),20/01/2006
Sri Lanka,won,51 runs,0,won,1st,,v Australia,Sydney,22/01/2006
Australia,lost,51 runs,0,lost,2nd,,v Sri Lanka,Sydney,22/01/2006
South Africa,won,9 runs,0,won,1st,,v Sri Lanka,Adelaide,24/01/2006
Sri Lanka,lost,9 runs,0,lost,2nd,,v South Africa,Adelaide,24/01/2006
Australia,won,5 wickets,9,lost,2nd,,v Sri Lanka,Adelaide,26/01/2006
Sri Lanka,lost,5 wickets,9,won,1st,,v Australia,Adelaide,26/01/2006
Australia,won,6 wickets,54,lost,2nd,,v Sri Lanka,Perth,29/01/2006
Sri Lanka,lost,6 wickets,54,won,1st,,v Australia,Perth,29/01/2006
South Africa,won,5 wickets,29,lost,2nd,,v Sri Lanka,Perth,31/01/2006
Sri Lanka,lost,5 wickets,29,won,1st,,v South Africa,Perth,31/01/2006
Australia,won,80 runs,0,won,1st,,v South Africa,Melbourne (Docklands),3/02/2006
South Africa,lost,80 runs,0,lost,2nd,,v Australia,Melbourne (Docklands),3/02/2006
Australia,won,57 runs,0,won,1st,,v South Africa,Sydney,5/02/2006
South Africa,lost,57 runs,0,lost,2nd,,v Australia,Sydney,5/02/2006
Pakistan,won,7 runs,0,won,2nd,,v India,Peshawar,6/02/2006
India,lost,7 runs,0,lost,1st,,v Pakistan,Peshawar,6/02/2006
Sri Lanka,won,76 runs,0,won,1st,,v South Africa,Hobart,7/02/2006
South Africa,lost,76 runs,0,lost,2nd,,v Sri Lanka,Hobart,7/02/2006
Sri Lanka,won,22 runs,0,won,1st,,v Australia,Adelaide,10/02/2006
Australia,lost,22 runs,0,lost,2nd,,v Sri Lanka,Adelaide,10/02/2006
India,won,7 wickets,41,lost,2nd,,v Pakistan,Rawalpindi,11/02/2006
Pakistan,lost,7 wickets,41,won,1st,,v India,Rawalpindi,11/02/2006
Australia,won,167 runs,0,won,1st,,v Sri Lanka,Sydney,12/02/2006
Sri Lanka,lost,167 runs,0,lost,2nd,,v Australia,Sydney,12/02/2006
India,won,5 wickets,14,won,2nd,,v Pakistan,Lahore,13/02/2006
Pakistan,lost,5 wickets,14,lost,1st,,v India,Lahore,13/02/2006
Australia,won,9 wickets,27,lost,2nd,,v Sri Lanka,Brisbane,14/02/2006
Sri Lanka,lost,9 wickets,27,won,1st,,v Australia,Brisbane,14/02/2006
India,won,5 wickets,105,won,2nd,,v Pakistan,Multan,16/02/2006
Pakistan,lost,5 wickets,105,lost,1st,,v India,Multan,16/02/2006
New Zealand,won,81 runs,0,won,1st,,v West Indies,Wellington,18/02/2006
West Indies,lost,81 runs,0,lost,2nd,,v New Zealand,Wellington,18/02/2006
India,won,8 wickets,19,won,2nd,,v Pakistan,Karachi,19/02/2006
Pakistan,lost,8 wickets,19,lost,1st,,v India,Karachi,19/02/2006
New Zealand,won,3 wickets,48,won,2nd,,v West Indies,Queenstown,22/02/2006
West Indies,lost,3 wickets,48,lost,1st,,v New Zealand,Queenstown,22/02/2006
New Zealand,won,21 runs,0,won,1st,,v West Indies,Christchurch,25/02/2006
West Indies,lost,21 runs,0,lost,2nd,,v New Zealand,Christchurch,25/02/2006
South Africa,won,6 wickets,21,lost,2nd,,v Australia,Centurion,26/02/2006
Australia,lost,6 wickets,21,won,1st,,v South Africa,Centurion,26/02/2006
New Zealand,won,91 runs,0,lost,1st,,v West Indies,Napier,1/03/2006
West Indies,lost,91 runs,0,won,2nd,,v New Zealand,Napier,1/03/2006
South Africa,won,196 runs,0,won,1st,,v Australia,Cape Town,3/03/2006
Australia,lost,196 runs,0,lost,2nd,,v South Africa,Cape Town,3/03/2006
West Indies,won,3 wickets,2,lost,2nd,,v New Zealand,Auckland,4/03/2006
New Zealand,lost,3 wickets,2,won,1st,,v West Indies,Auckland,4/03/2006
Australia,won,24 runs,0,lost,1st,,v South Africa,Port Elizabeth,5/03/2006
South Africa,lost,24 runs,0,won,2nd,,v Australia,Port Elizabeth,5/03/2006
Australia,won,1 wickets,5,lost,2nd,,v South Africa,Durban,10/03/2006
South Africa,lost,1 wickets,5,won,1st,,v Australia,Durban,10/03/2006
South Africa,won,1 wickets,1,lost,2nd,,v Australia,Johannesburg,12/03/2006
Australia,lost,1 wickets,1,won,1st,,v South Africa,Johannesburg,12/03/2006
Pakistan,won,4 wickets,32,won,2nd,,v Sri Lanka,Colombo (RPS),19/03/2006
Sri Lanka,lost,4 wickets,32,lost,1st,,v Pakistan,Colombo (RPS),19/03/2006
Pakistan,won,4 wickets,28,won,2nd,,v Sri Lanka,Colombo (SSC),22/03/2006
Sri Lanka,lost,4 wickets,28,lost,1st,,v Pakistan,Colombo (SSC),22/03/2006
India,won,39 runs,0,lost,1st,,v England,Delhi,28/03/2006
England,lost,39 runs,0,won,2nd,,v India,Delhi,28/03/2006
India,won,4 wickets,6,lost,2nd,,v England,Faridabad,31/03/2006
England,lost,4 wickets,6,won,1st,,v India,Faridabad,31/03/2006
India,won,49 runs,0,won,1st,,v England,Margao,3/04/2006
England,lost,49 runs,0,lost,2nd,,v India,Margao,3/04/2006
India,won,4 wickets,16,lost,2nd,,v England,Kochi,6/04/2006
England,lost,4 wickets,16,won,1st,,v India,Kochi,6/04/2006
England,won,5 wickets,44,lost,2nd,,v India,Jamshedpur,12/04/2006
India,lost,5 wickets,44,won,1st,,v England,Jamshedpur,12/04/2006
India,won,7 wickets,5,won,2nd,,v England,Indore,15/04/2006
England,lost,7 wickets,5,lost,1st,,v India,Indore,15/04/2006
Pakistan,won,6 wickets,9,lost,2nd,,v India,Abu Dhabi,18/04/2006
India,lost,6 wickets,9,won,1st,,v Pakistan,Abu Dhabi,18/04/2006
India,won,51 runs,0,won,1st,,v Pakistan,Abu Dhabi,19/04/2006
Pakistan,lost,51 runs,0,lost,2nd,,v India,Abu Dhabi,19/04/2006
India,won,5 wickets,1,won,2nd,,v West Indies,Kingston,18/05/2006
West Indies,lost,5 wickets,1,lost,1st,,v India,Kingston,18/05/2006
West Indies,won,1 runs,0,lost,1st,,v India,Kingston,20/05/2006
India,lost,1 runs,0,won,2nd,,v West Indies,Kingston,20/05/2006
West Indies,won,4 wickets,1,lost,2nd,,v India,Basseterre,23/05/2006
India,lost,4 wickets,1,won,1st,,v West Indies,Basseterre,23/05/2006
West Indies,won,6 wickets,36,won,2nd,,v India,Port of Spain,26/05/2006
India,lost,6 wickets,36,lost,1st,,v West Indies,Port of Spain,26/05/2006
West Indies,won,19 runs,0,lost,1st,,v India,Port of Spain,28/05/2006
India,lost,19 runs,0,won,2nd,,v West Indies,Port of Spain,28/05/2006
Sri Lanka,won,20 runs,0,lost,1st,,v England,Lord's,17/06/2006
England,lost,20 runs,0,won,2nd,,v Sri Lanka,Lord's,17/06/2006
Sri Lanka,won,46 runs,0,won,1st,,v England,The Oval,20/06/2006
England,lost,46 runs,0,lost,2nd,,v Sri Lanka,The Oval,20/06/2006
Sri Lanka,won,8 wickets,46,lost,2nd,,v England,Chester-le-Street,24/06/2006
England,lost,8 wickets,46,won,1st,,v Sri Lanka,Chester-le-Street,24/06/2006
Sri Lanka,won,33 runs,0,won,1st,,v England,Manchester,28/06/2006
England,lost,33 runs,0,lost,2nd,,v Sri Lanka,Manchester,28/06/2006
Sri Lanka,won,8 wickets,75,lost,2nd,,v England,Leeds,1/07/2006
England,lost,8 wickets,75,won,1st,,v Sri Lanka,Leeds,1/07/2006
Pakistan,won,7 wickets,20,won,2nd,,v England,Lord's,2/09/2006
England,lost,7 wickets,20,lost,1st,,v Pakistan,Lord's,2/09/2006
Pakistan,won,2 wickets,7,won,2nd,,v England,Southampton,5/09/2006
England,lost,2 wickets,7,lost,1st,,v Pakistan,Southampton,5/09/2006
England,won,8 wickets,22,lost,2nd,,v Pakistan,Nottingham,8/09/2006
Pakistan,lost,8 wickets,22,won,1st,,v England,Nottingham,8/09/2006
England,won,3 wickets,114,won,2nd,,v Pakistan,Birmingham,10/09/2006
Pakistan,lost,3 wickets,114,lost,1st,,v England,Birmingham,10/09/2006
Australia,won,78 runs,0,won,1st,,v West Indies,Kuala Lumpur,12/09/2006
West Indies,lost,78 runs,0,lost,2nd,,v Australia,Kuala Lumpur,12/09/2006
West Indies,won,29 runs,0,lost,2nd,,v India,Kuala Lumpur,14/09/2006
India,lost,29 runs,0,won,1st,,v West Indies,Kuala Lumpur,14/09/2006
West Indies,won,3 wickets,16,lost,2nd,,v Australia,Kuala Lumpur,18/09/2006
Australia,lost,3 wickets,16,won,1st,,v West Indies,Kuala Lumpur,18/09/2006
India,won,16 runs,0,won,1st,,v West Indies,Kuala Lumpur,20/09/2006
West Indies,lost,16 runs,0,lost,2nd,,v India,Kuala Lumpur,20/09/2006
Australia,won,18 runs,0,won,1st,,v India,Kuala Lumpur,22/09/2006
India,lost,18 runs,0,lost,2nd,,v Australia,Kuala Lumpur,22/09/2006
Australia,won,127 runs,0,won,1st,,v West Indies,Kuala Lumpur,24/09/2006
West Indies,lost,127 runs,0,lost,2nd,,v Australia,Kuala Lumpur,24/09/2006
Sri Lanka,won,9 wickets,220,lost,2nd,,v West Indies,Mumbai (BS),14/10/2006
West Indies,lost,9 wickets,220,won,1st,,v Sri Lanka,Mumbai (BS),14/10/2006
India,won,4 wickets,123,won,2nd,,v England,Jaipur,15/10/2006
England,lost,4 wickets,123,lost,1st,,v India,Jaipur,15/10/2006
New Zealand,won,87 runs,0,lost,1st,,v South Africa,Mumbai (BS),16/10/2006
South Africa,lost,87 runs,0,won,2nd,,v New Zealand,Mumbai (BS),16/10/2006
Pakistan,won,4 wickets,11,lost,2nd,,v Sri Lanka,Jaipur,17/10/2006
Sri Lanka,lost,4 wickets,11,won,1st,,v Pakistan,Jaipur,17/10/2006
West Indies,won,10 runs,0,won,1st,,v Australia,Mumbai (BS),18/10/2006
Australia,lost,10 runs,0,lost,2nd,,v West Indies,Mumbai (BS),18/10/2006
Sri Lanka,won,7 wickets,84,lost,2nd,,v New Zealand,Mumbai (BS),20/10/2006
New Zealand,lost,7 wickets,84,won,1st,,v Sri Lanka,Mumbai (BS),20/10/2006
Australia,won,6 wickets,79,won,2nd,,v England,Jaipur,21/10/2006
England,lost,6 wickets,79,lost,1st,,v Australia,Jaipur,21/10/2006
South Africa,won,78 runs,0,lost,1st,,v Sri Lanka,Ahmedabad,24/10/2006
Sri Lanka,lost,78 runs,0,won,2nd,,v South Africa,Ahmedabad,24/10/2006
New Zealand,won,51 runs,0,lost,1st,,v Pakistan,Mohali,25/10/2006
Pakistan,lost,51 runs,0,won,2nd,,v New Zealand,Mohali,25/10/2006
West Indies,won,3 wickets,2,won,2nd,,v India,Ahmedabad,26/10/2006
India,lost,3 wickets,2,lost,1st,,v West Indies,Ahmedabad,26/10/2006
South Africa,won,124 runs,0,won,1st,,v Pakistan,Mohali,27/10/2006
Pakistan,lost,124 runs,0,lost,2nd,,v South Africa,Mohali,27/10/2006
England,won,3 wickets,9,lost,2nd,,v West Indies,Ahmedabad,28/10/2006
West Indies,lost,3 wickets,9,won,1st,,v England,Ahmedabad,28/10/2006
Australia,won,6 wickets,26,lost,2nd,,v India,Mohali,29/10/2006
India,lost,6 wickets,26,won,1st,,v Australia,Mohali,29/10/2006
Australia,won,34 runs,0,lost,1st,,v New Zealand,Mohali,1/11/2006
New Zealand,lost,34 runs,0,won,2nd,,v Australia,Mohali,1/11/2006
West Indies,won,6 wickets,36,lost,2nd,,v South Africa,Jaipur,2/11/2006
South Africa,lost,6 wickets,36,won,1st,,v West Indies,Jaipur,2/11/2006
Australia,won,8 wickets,41,lost,2nd,,v West Indies,Mumbai (BS),5/11/2006
West Indies,lost,8 wickets,41,won,1st,,v Australia,Mumbai (BS),5/11/2006
South Africa,won,157 runs,0,won,1st,,v India,Durban,22/11/2006
India,lost,157 runs,0,lost,2nd,,v South Africa,Durban,22/11/2006
South Africa,won,106 runs,0,won,1st,,v India,Cape Town,26/11/2006
India,lost,106 runs,0,lost,2nd,,v South Africa,Cape Town,26/11/2006
South Africa,won,80 runs,0,won,1st,,v India,Port Elizabeth,29/11/2006
India,lost,80 runs,0,lost,2nd,,v South Africa,Port Elizabeth,29/11/2006
South Africa,won,9 wickets,112,won,2nd,,v India,Centurion,3/12/2006
India,lost,9 wickets,112,lost,1st,,v South Africa,Centurion,3/12/2006
Pakistan,won,2 wickets,10,won,2nd,,v West Indies,Faisalabad,7/12/2006
West Indies,lost,2 wickets,10,lost,1st,,v Pakistan,Faisalabad,7/12/2006
Pakistan,won,7 wickets,8,won,2nd,,v West Indies,Lahore,10/12/2006
West Indies,lost,7 wickets,8,lost,1st,,v Pakistan,Lahore,10/12/2006
West Indies,won,7 wickets,91,lost,2nd,,v Pakistan,Multan,13/12/2006
Pakistan,lost,7 wickets,91,won,1st,,v West Indies,Multan,13/12/2006
Pakistan,won,7 wickets,19,won,2nd,,v West Indies,Karachi,16/12/2006
West Indies,lost,7 wickets,19,lost,1st,,v Pakistan,Karachi,16/12/2006
Sri Lanka,won,7 wickets,60,lost,2nd,,v New Zealand,Napier,28/12/2006
New Zealand,lost,7 wickets,60,won,1st,,v Sri Lanka,Napier,28/12/2006
New Zealand,won,1 wickets,0,won,2nd,,v Sri Lanka,Queenstown,31/12/2006
Sri Lanka,lost,1 wickets,0,lost,1st,,v New Zealand,Queenstown,31/12/2006
New Zealand,won,4 wickets,129,won,2nd,,v Sri Lanka,Christchurch,2/01/2007
Sri Lanka,lost,4 wickets,129,lost,1st,,v New Zealand,Christchurch,2/01/2007
Sri Lanka,won,189 runs,0,won,1st,,v New Zealand,Auckland,6/01/2007
New Zealand,lost,189 runs,0,lost,2nd,,v Sri Lanka,Auckland,6/01/2007
Australia,won,8 wickets,28,lost,2nd,,v England,Melbourne,12/01/2007
England,lost,8 wickets,28,won,1st,,v Australia,Melbourne,12/01/2007
Australia,won,105 runs,0,won,1st,,v New Zealand,Hobart,14/01/2007
New Zealand,lost,105 runs,0,lost,2nd,,v Australia,Hobart,14/01/2007
England,won,3 wickets,1,lost,2nd,,v New Zealand,Hobart,16/01/2007
New Zealand,lost,3 wickets,1,won,1st,,v England,Hobart,16/01/2007
Australia,won,4 wickets,68,lost,2nd,,v England,Brisbane,19/01/2007
England,lost,4 wickets,68,won,1st,,v Australia,Brisbane,19/01/2007
Australia,won,2 wickets,8,lost,2nd,,v New Zealand,Sydney,21/01/2007
New Zealand,lost,2 wickets,8,won,1st,,v Australia,Sydney,21/01/2007
India,won,14 runs,0,lost,1st,,v West Indies,Nagpur,21/01/2007
West Indies,lost,14 runs,0,won,2nd,,v India,Nagpur,21/01/2007
New Zealand,won,90 runs,0,won,1st,,v England,Adelaide,23/01/2007
England,lost,90 runs,0,lost,2nd,,v New Zealand,Adelaide,23/01/2007
India,won,20 runs,0,won,1st,,v West Indies,Cuttack,24/01/2007
West Indies,lost,20 runs,0,lost,2nd,,v India,Cuttack,24/01/2007
Australia,won,9 wickets,153,lost,2nd,,v England,Adelaide,26/01/2007
England,lost,9 wickets,153,won,1st,,v Australia,Adelaide,26/01/2007
West Indies,won,3 wickets,38,won,2nd,,v India,Chennai,27/01/2007
India,lost,3 wickets,38,lost,1st,,v West Indies,Chennai,27/01/2007
Australia,won,8 runs,0,won,1st,,v New Zealand,Perth,28/01/2007
New Zealand,lost,8 runs,0,lost,2nd,,v Australia,Perth,28/01/2007
New Zealand,won,58 runs,0,won,1st,,v England,Perth,30/01/2007
England,lost,58 runs,0,lost,2nd,,v New Zealand,Perth,30/01/2007
India,won,160 runs,0,lost,1st,,v West Indies,Vadodara,31/01/2007
West Indies,lost,160 runs,0,won,2nd,,v India,Vadodara,31/01/2007
England,won,92 runs,0,won,1st,,v Australia,Sydney,2/02/2007
Australia,lost,92 runs,0,lost,2nd,,v England,Sydney,2/02/2007
Australia,won,5 wickets,10,lost,2nd,,v New Zealand,Melbourne,4/02/2007
New Zealand,lost,5 wickets,10,won,1st,,v Australia,Melbourne,4/02/2007
South Africa,won,164 runs,0,lost,1st,,v Pakistan,Centurion,4/02/2007
Pakistan,lost,164 runs,0,won,2nd,,v South Africa,Centurion,4/02/2007
England,won,14 runs,0,won,1st,,v New Zealand,Brisbane,6/02/2007
New Zealand,lost,14 runs,0,lost,2nd,,v England,Brisbane,6/02/2007
Pakistan,won,141 runs,0,won,1st,,v South Africa,Durban,7/02/2007
South Africa,lost,141 runs,0,lost,2nd,,v Pakistan,Durban,7/02/2007
England,won,4 wickets,3,lost,2nd,,v Australia,Melbourne,9/02/2007
Australia,lost,4 wickets,3,won,1st,,v England,Melbourne,9/02/2007
England,won,34 runs,0,won,1st,,v Australia,Sydney,11/02/2007
Australia,lost,34 runs,0,lost,2nd,,v England,Sydney,11/02/2007
Sri Lanka,won,5 runs,0,lost,1st,,v India,Rajkot,11/02/2007
India,lost,5 runs,0,won,2nd,,v Sri Lanka,Rajkot,11/02/2007
South Africa,won,10 wickets,216,won,2nd,,v Pakistan,Cape Town,11/02/2007
Pakistan,lost,10 wickets,216,lost,1st,,v South Africa,Cape Town,11/02/2007
India,won,5 wickets,21,lost,2nd,,v Sri Lanka,Margao,14/02/2007
Sri Lanka,lost,5 wickets,21,won,1st,,v India,Margao,14/02/2007
South Africa,won,9 wickets,130,lost,2nd,,v Pakistan,Johannesburg,14/02/2007
Pakistan,lost,9 wickets,130,won,1st,,v South Africa,Johannesburg,14/02/2007
New Zealand,won,10 wickets,138,won,2nd,,v Australia,Wellington,16/02/2007
Australia,lost,10 wickets,138,lost,1st,,v New Zealand,Wellington,16/02/2007
India,won,7 wickets,36,won,2nd,,v Sri Lanka,Visakhapatnam,17/02/2007
Sri Lanka,lost,7 wickets,36,lost,1st,,v India,Visakhapatnam,17/02/2007
New Zealand,won,5 wickets,8,won,2nd,,v Australia,Auckland,18/02/2007
Australia,lost,5 wickets,8,lost,1st,,v New Zealand,Auckland,18/02/2007
New Zealand,won,1 wickets,3,lost,2nd,,v Australia,Hamilton,20/02/2007
Australia,lost,1 wickets,3,won,1st,,v New Zealand,Hamilton,20/02/2007
West Indies,won,54 runs,0,lost,1st,,v Pakistan,Kingston,13/03/2007
Pakistan,lost,54 runs,0,won,2nd,,v West Indies,Kingston,13/03/2007
New Zealand,won,6 wickets,54,won,2nd,,v England,Gros Islet,16/03/2007
England,lost,6 wickets,54,lost,1st,,v New Zealand,Gros Islet,16/03/2007
Sri Lanka,won,69 runs,0,lost,1st,,v India,Port of Spain,23/03/2007
India,lost,69 runs,0,won,2nd,,v Sri Lanka,Port of Spain,23/03/2007
Australia,won,83 runs,0,lost,1st,,v South Africa,Basseterre,24/03/2007
South Africa,lost,83 runs,0,won,2nd,,v Australia,Basseterre,24/03/2007
Australia,won,103 runs,0,lost,1st,,v West Indies,North Sound,27/03/2007
West Indies,lost,103 runs,0,won,2nd,,v Australia,North Sound,27/03/2007
South Africa,won,1 wickets,10,lost,2nd,,v Sri Lanka,Providence,28/03/2007
Sri Lanka,lost,1 wickets,10,won,1st,,v South Africa,Providence,28/03/2007
New Zealand,won,7 wickets,64,won,2nd,,v West Indies,North Sound,29/03/2007
West Indies,lost,7 wickets,64,lost,1st,,v New Zealand,North Sound,29/03/2007
Sri Lanka,won,113 runs,0,lost,1st,,v West Indies,Providence,1/04/2007
West Indies,lost,113 runs,0,won,2nd,,v Sri Lanka,Providence,1/04/2007
Sri Lanka,won,2 runs,0,lost,1st,,v England,North Sound,4/04/2007
England,lost,2 runs,0,won,2nd,,v Sri Lanka,North Sound,4/04/2007
Australia,won,7 wickets,16,lost,2nd,,v England,North Sound,8/04/2007
England,lost,7 wickets,16,won,1st,,v Australia,North Sound,8/04/2007
South Africa,won,67 runs,0,lost,1st,,v West Indies,St George's,10/04/2007
West Indies,lost,67 runs,0,won,2nd,,v South Africa,St George's,10/04/2007
Sri Lanka,won,6 wickets,29,lost,2nd,,v New Zealand,St George's,12/04/2007
New Zealand,lost,6 wickets,29,won,1st,,v Sri Lanka,St George's,12/04/2007
New Zealand,won,5 wickets,10,won,2nd,,v South Africa,St George's,14/04/2007
South Africa,lost,5 wickets,10,lost,1st,,v New Zealand,St George's,14/04/2007
Australia,won,7 wickets,44,lost,2nd,,v Sri Lanka,St George's,16/04/2007
Sri Lanka,lost,7 wickets,44,won,1st,,v Australia,St George's,16/04/2007
South Africa,won,9 wickets,184,lost,2nd,,v England,Bridgetown,17/04/2007
England,lost,9 wickets,184,won,1st,,v South Africa,Bridgetown,17/04/2007
Australia,won,215 runs,0,won,1st,,v New Zealand,St George's,20/04/2007
New Zealand,lost,215 runs,0,lost,2nd,,v Australia,St George's,20/04/2007
England,won,1 wickets,1,won,2nd,,v West Indies,Bridgetown,21/04/2007
West Indies,lost,1 wickets,1,lost,1st,,v England,Bridgetown,21/04/2007
Sri Lanka,won,81 runs,0,won,1st,,v New Zealand,Kingston,24/04/2007
New Zealand,lost,81 runs,0,lost,2nd,,v Sri Lanka,Kingston,24/04/2007
Australia,won,7 wickets,111,lost,2nd,,v South Africa,Gros Islet,25/04/2007
South Africa,lost,7 wickets,111,won,1st,,v Australia,Gros Islet,25/04/2007
Australia,won,53 runs,0,won,1st,,v Sri Lanka,Bridgetown,28/04/2007
Sri Lanka,lost,53 runs,0,lost,2nd,,v Australia,Bridgetown,28/04/2007
Pakistan,won,5 wickets,48,lost,2nd,,v Sri Lanka,Abu Dhabi,18/05/2007
Sri Lanka,lost,5 wickets,48,won,1st,,v Pakistan,Abu Dhabi,18/05/2007
Pakistan,won,98 runs,0,won,1st,,v Sri Lanka,Abu Dhabi,20/05/2007
Sri Lanka,lost,98 runs,0,lost,2nd,,v Pakistan,Abu Dhabi,20/05/2007
Sri Lanka,won,115 runs,0,won,1st,,v Pakistan,Abu Dhabi,22/05/2007
Pakistan,lost,115 runs,0,lost,2nd,,v Sri Lanka,Abu Dhabi,22/05/2007
South Africa,won,4 wickets,3,won,2nd,,v India,Belfast,26/06/2007
India,lost,4 wickets,3,lost,1st,,v South Africa,Belfast,26/06/2007
India,won,6 wickets,5,won,2nd,,v South Africa,Belfast,29/06/2007
South Africa,lost,6 wickets,5,lost,1st,,v India,Belfast,29/06/2007
England,won,79 runs,0,lost,1st,,v West Indies,Lord's,1/07/2007
West Indies,lost,79 runs,0,won,2nd,,v England,Lord's,1/07/2007
India,won,6 wickets,4,won,2nd,,v South Africa,Belfast,1/07/2007
South Africa,lost,6 wickets,4,lost,1st,,v India,Belfast,1/07/2007
West Indies,won,61 runs,0,lost,1st,,v England,Birmingham,4/07/2007
England,lost,61 runs,0,won,2nd,,v West Indies,Birmingham,4/07/2007
West Indies,won,93 runs,0,won,1st,,v England,Nottingham,7/07/2007
England,lost,93 runs,0,lost,2nd,,v West Indies,Nottingham,7/07/2007
England,won,104 runs,0,lost,1st,,v India,Southampton,21/08/2007
India,lost,104 runs,0,won,2nd,,v England,Southampton,21/08/2007
India,won,9 runs,0,won,1st,,v England,Bristol,24/08/2007
England,lost,9 runs,0,lost,2nd,,v India,Bristol,24/08/2007
England,won,42 runs,0,lost,1st,,v India,Birmingham,27/08/2007
India,lost,42 runs,0,won,2nd,,v England,Birmingham,27/08/2007
England,won,3 wickets,12,lost,2nd,,v India,Manchester,30/08/2007
India,lost,3 wickets,12,won,1st,,v England,Manchester,30/08/2007
India,won,38 runs,0,lost,1st,,v England,Leeds,2/09/2007
England,lost,38 runs,0,won,2nd,,v India,Leeds,2/09/2007
India,won,2 wickets,2,lost,2nd,,v England,The Oval,5/09/2007
England,lost,2 wickets,2,won,1st,,v India,The Oval,5/09/2007
England,won,7 wickets,82,lost,2nd,,v India,Lord's,8/09/2007
India,lost,7 wickets,82,won,1st,,v England,Lord's,8/09/2007
Sri Lanka,won,119 runs,0,won,1st,,v England,Dambulla,1/10/2007
England,lost,119 runs,0,lost,2nd,,v Sri Lanka,Dambulla,1/10/2007
Australia,won,84 runs,0,lost,1st,,v India,Kochi,2/10/2007
India,lost,84 runs,0,won,2nd,,v Australia,Kochi,2/10/2007
England,won,65 runs,0,won,1st,,v Sri Lanka,Dambulla,4/10/2007
Sri Lanka,lost,65 runs,0,lost,2nd,,v England,Dambulla,4/10/2007
Australia,won,47 runs,0,won,1st,,v India,Hyderabad (Deccan),5/10/2007
India,lost,47 runs,0,lost,2nd,,v Australia,Hyderabad (Deccan),5/10/2007
England,won,2 wickets,7,lost,2nd,,v Sri Lanka,Dambulla,7/10/2007
Sri Lanka,lost,2 wickets,7,won,1st,,v England,Dambulla,7/10/2007
India,won,8 runs,0,won,1st,,v Australia,Chandigarh,8/10/2007
Australia,lost,8 runs,0,lost,2nd,,v India,Chandigarh,8/10/2007
England,won,5 wickets,19,lost,2nd,,v Sri Lanka,Colombo (RPS),10/10/2007
Sri Lanka,lost,5 wickets,19,won,1st,,v England,Colombo (RPS),10/10/2007
Australia,won,9 wickets,145,lost,2nd,,v India,Vadodara,11/10/2007
India,lost,9 wickets,145,won,1st,,v Australia,Vadodara,11/10/2007
Sri Lanka,won,107 runs,0,won,1st,,v England,Colombo (RPS),13/10/2007
England,lost,107 runs,0,lost,2nd,,v Sri Lanka,Colombo (RPS),13/10/2007
Australia,won,18 runs,0,won,1st,,v India,Nagpur,14/10/2007
India,lost,18 runs,0,lost,2nd,,v Australia,Nagpur,14/10/2007
India,won,2 wickets,24,lost,2nd,,v Australia,Mumbai,17/10/2007
Australia,lost,2 wickets,24,won,1st,,v India,Mumbai,17/10/2007
South Africa,won,45 runs,0,won,1st,,v Pakistan,Lahore,18/10/2007
Pakistan,lost,45 runs,0,lost,2nd,,v South Africa,Lahore,18/10/2007
Pakistan,won,25 runs,0,won,1st,,v South Africa,Lahore,20/10/2007
South Africa,lost,25 runs,0,lost,2nd,,v Pakistan,Lahore,20/10/2007
Pakistan,won,6 wickets,11,lost,2nd,,v South Africa,Faisalabad,23/10/2007
South Africa,lost,6 wickets,11,won,1st,,v Pakistan,Faisalabad,23/10/2007
South Africa,won,7 wickets,74,lost,2nd,,v Pakistan,Multan,26/10/2007
Pakistan,lost,7 wickets,74,won,1st,,v South Africa,Multan,26/10/2007
South Africa,won,14 runs,0,won,1st,,v Pakistan,Lahore,29/10/2007
Pakistan,lost,14 runs,0,lost,2nd,,v South Africa,Lahore,29/10/2007
India,won,5 wickets,18,lost,2nd,,v Pakistan,Guwahati,5/11/2007
Pakistan,lost,5 wickets,18,won,1st,,v India,Guwahati,5/11/2007
Pakistan,won,4 wickets,1,lost,2nd,,v India,Mohali,8/11/2007
India,lost,4 wickets,1,won,1st,,v Pakistan,Mohali,8/11/2007
India,won,46 runs,0,lost,1st,,v Pakistan,Kanpur,11/11/2007
Pakistan,lost,46 runs,0,won,2nd,,v India,Kanpur,11/11/2007
India,won,6 wickets,21,lost,2nd,,v Pakistan,Gwalior,15/11/2007
Pakistan,lost,6 wickets,21,won,1st,,v India,Gwalior,15/11/2007
Pakistan,won,31 runs,0,lost,1st,,v India,Jaipur,18/11/2007
India,lost,31 runs,0,won,2nd,,v Pakistan,Jaipur,18/11/2007
South Africa,won,2 wickets,0,won,2nd,,v New Zealand,Durban,25/11/2007
New Zealand,lost,2 wickets,0,lost,1st,,v South Africa,Durban,25/11/2007
New Zealand,won,7 wickets,68,lost,2nd,,v South Africa,Port Elizabeth,30/11/2007
South Africa,lost,7 wickets,68,won,1st,,v New Zealand,Port Elizabeth,30/11/2007
